"_c0","text"
"激光雷达工程师","光学设计,ZEMAX,激光技术,物理光学	<p>岗位职责：</p><p>1、从事光纤激光器产品开发，负责光学方案的评估及实现；</p><p>2、主导项目执行，设计光学方案，提出结构、软件、硬件设计要求，评审设计符合性；</p><p>3、设计实验方案，评估可行性，风险降低措施；</p><p>4、编写整理实验过程记录、项目总结与改善、相关技术文档编写；</p><p>5、参与分析和解决产品相关问题；</p><p>6、完成上级交办的其他工作。</p><p>任职资格：</p><p>1、本科及以上学历，光纤光学、光电子等相关专业；</p><p>2、工作经验:光电子等相关工作经验；可以接受优秀应届生</p><p>3、技能要求:熟悉激光原理、了解光纤激光器和放大器的设计原理和基本结构；</p><p><br></p><div> <br>职位福利：五险一金、年底双薪、加班补助、包吃、周末双休、交通补助、通讯补助、节日福利</div>"
"算法工程师","算法设计,算法开发	工作职责：
1．负责Voxeldance相关软件的算法功能开发，包括功能设计，算法设计，原型开发，编码实现；
2．负责几何内核的开发与维护，包括算法升级，代码优化，bug修复等；
任职要求：
1.硕士及以上学历或者能力出众本科生，计算机图形学、机械工程、计算机科学与技术、数学等相关专业，或者有图形学相关项目的开发经验的其他专业；
2．熟练掌握C/C++ 编程语言，且对几何算法感兴趣；或有深厚的数学（几何）算法设计能力，对工业软件开发感兴趣；
3．熟悉3D打印算法、隐式建模、数字几何处理、CUDA者优先考虑；
4．有过SigGraph/TOG，CAD，CAGD，CGF等论文发表者优先考虑；
5. 有较强的语言表达、沟通能力和分析、解决问题的能力。学习能力强，有高度的责任心。"
"算法工程师（文本+图像）","大模型算法,深度学习,机器学习,自然语言处理算法,图像算法,Python,优秀开源项目经历,算法工程化经验	岗位职责：
1、负责主导设计、开发、优化公司AI项目，应用NLP&CV技术包括但不限于文本生成、文本分类、情感分析、命名实体识别、图像分类、目标检测、图像分割、视频分析合成等；
2、负责搜集、整理、验证数据集，构建和完善针对特定场景的数据优化和算法开发，如电商业务场景下的文本生成、电商商品知识图谱、知识产权信息检测等，为管理者和公司的决策提供更准确的预测数据。
3、负责算法模型搭建、实现、调优指导，结合业务需求，提供并优化NLP算法解决方案、算法系统设计和架构，确保算法的准确性、稳定性、效率，并确保算法模型效果达到业务交付标准。

任职资质：
1、硕士及以上学历，计算机科学、数学、统计学、人工智能、信息工程或相关专业背景；
2、熟练掌握NLP或CV领域的基础理论，较强的论文阅读能力，能够快速根据算法，搭建实现模型，BERT/Resnet等预训练模型有实际应用经验；
3、能熟练使用python, 熟悉常用的sklearn/xgboost/DeepFM包, pytorch/tensorflow/caffe知其中一种，实际编码能力强，具备比较强的调优能力，部署内部服务；
4、有接触百万级以上数据量训练经验、多模态、推荐、搜索相关经验优先考虑；
5、责任心强，拥有优秀的分析问题和解决问题的能力，具有解决挑战性问题充满激情；"
"预测算法","算法设计,深度学习,算法开发,PyTorch,TensorFlow	1. 高速/城区等场景下，自动驾驶预测模块算法设计与开发，紧密联动上游感知和下游决策规划，保证自动驾驶车辆的安全性和舒适性；
2. 支持多场景、多障碍物类别、可持续迭代优化的预测算法设计；
3. 预测算法的评价方案设计和测试；
4. 配合自动驾驶其他模块完成系统的开发及调试工作。

职位要求
1. 计算机/控制/自动化/数学/车辆/人工智能等相关专业，硕士及以上优先；
2. 至少1年以上自动驾驶轨迹预测、行为预测等项目开发经验；
3. 熟悉深度学习rnn、lstm、cnn、gnn等常用网络原理和设计；
4. 熟练使用C++、python编程，熟练使用pytorch或tensorflow等工具，熟悉linux开发环境；
5. 良好的团队协作精神，积极乐观，执行力强。
加分项
a. 有以数据驱动为基础的项目落地经验及工程部署能力；
b. 有auto-label数据处理或预训练模型经验；
c. 较强的复现paper能力。
"
"数据算法工程师","SQL,Python,Tableau,Power BI	<p>岗位职责:<br></p><p>1.承接公司战略规划，实施机载数据平台与数据建设的应用，推动公司运行数据科学测量和全样本量化分析工作。<br>2.对机载数据进行收集、整理和分析，进行数据可视化和报表制作，提高数据资产的价值，将全航班运行的QAR过程数据或数据测量点，进行分析、清洗、回算和转换<br>3.建立ROM（日常运行测量）与业务逻辑之间的关系，开发数学模型，通过分类、聚类、回归、关联规则，与专业工程师共同开展业务，达成靶点开发的目标，帮助机队实现安全或成本的改进<br>4.运用ORACLE/MY SQL/HIVE等获取分析所需数据，分析海量参数并提炼核心结果，用简洁而清晰的方式呈现数据背后的核心风险逻辑和相关关联因子，开展项目的研究并制作分析报告，指导相关部门开展业务决策<br>5.负责数据分析与报告，包含数据收集、处理、分析和报告的全过程，独立完成部分交互设计工作，并设计交互流程、输出目标demo<br>6.负责模型维护，监控模型的关键性能指标，评估模型的准确性和有效性，以及拟定优化方案<br>7.负责公司机载数据平台的性能规划、平台的组件部署、维护、优化和升级工作<br>8.负责完成本部门及处室领导交办的其他事项</p> <br><br>任职要求:<br><p>1. 本科及以上学历，统计学、数学、计算机或其他理工科专业，具备民航、制造业数字化工作经验优先；<br>2. 具备2年及以上数据分析工作经验，；<br>3. 具备使用SQL、Python处理多种类型数据的经验<br>4. 具备使用Tableau，PowerBI搭建业务分析报表的经验 ；<br>5. 有过至少一个完整项目经验（问题调研至产品落地优化）<br>6. 具备良好的沟通表达能力，知道如何将数据分析结论准确传达给业务同事，帮助没有技术背景的同事快速理解<br>7. 具备较强的多任务处理能力和抗压能力，能适应快节奏的工作环境和以结果为导向的工作氛围<br>8. 熟悉具备NLP、数据挖掘、数据治理项目经验优先</p><p></p>"
"蚂蚁集团-算法专家-RAG大模型方向-杭州/上海","检索生成,大模型生成,NLP大模型,搜索大模型,金融服务,支付宝数字金融,RAG,检索增强生成	1、负责搜索查询理解、召回和排序优化，不限于多维度排序、混合搜索、图搜索等；



2、负责全行业知识和金融服务库建设，做有广度和有深度的知识和服务供给和理解；



3、负责大模型生成相关技术（知识注入，指令对齐，深度推理，事实围栏）算法研究和应用落地；



4、积极探索技术前沿，鼓励并支持将研究成果沉淀为技术文章，专利和学术论文。



职位要求

1、本科以上学历，计算机相关专业，3年及以上NLP/大模型/搜索算法经验，有顶会论文发表者优先；



2、对于搜索查询理解、召回和排序有深刻的理解，细节把握到位；



3、具有良好的深度学习/自然语言处理相关任务实战经验，拥有大模型训练和调优经验；



4、敢于拥抱不确定性，能持续挖掘问题，追寻更优方案。"
"组合导航算法工程师/专家","视觉算法,卡尔曼滤波,视觉定位,粒子滤波,算法设计,传感器算法,定位算法,激光雷达,C++,C语言	岗位职责
1.设计开发基于IMU/GNSS/里程计等组合导航模块开发、产品优化和交付落地
2.负责组合导航设备与相关传感器的选型和标定等工作
3. 参与激光雷达、视觉等融合定位算法的开发工作

任职要求
1.扎实掌握IMU和GNSS相关原理和算法，熟悉惯性导航初始化、误差建模和解算，熟悉卫星导航单点定位和RTK算法
2. 熟练掌握卡尔曼滤波器、粒子滤波等多传感器融合算法原理和设计，并具有实际应用经验
3. 熟练掌握C++/Python编程语言
4.有组合导航模组量产经验者优先"
"图形算法工程师","	        【福利】周末双休+五险一金+员工体检等【注意】社招职位！！非校招职位（2023年及以后毕业***，谢谢）【招聘流程】线上面试+面试作业→复试→发送offer【岗位职责】1、负责计算机图形学和计算机视觉算法的研究和实现2、参与图像深度学习算法的研究工作3、协助进行关键技术突破等【岗位要求】1、 至少统招本科及以上学历，计算机或数学专业（为佳）；2、 熟悉C/C++编程，扎实的编程功底、算法与数据结构基础，具有理解中英文图形图像学术论文的能力;3、熟悉图像处理常用算法，熟悉图形渲染技术者优先；；4、具备良好的团队协作能力，思路清晰，能够独立思考，善于创新，针对问题提出有效解决方案，具备主观能动性。                "
"算法工程师","信号处理,基带算法,FFT,算法设计	职责描述：
：
1、负责信号分析仪和信号发生器的信号处理系统设计和规划；
2、负责通信物理层、射频和基带软件相关理论和协议的研究、仿真、实现和测试；
3、配合软件、硬件、射频团队共同完成整机产品的开发、实现和测试；
4、完成信号处理算法和基带软件相关文档和产品应用文档的撰写。
任职要求：

1、通信/信号处理/电子/计算机/自控等相关专业本科或硕士及以上学历；
2、1年以上通信算法或基带软件相关开发经验；
3、扎实的通信和信息理论基础，对通信原理、数字信号处理、无线通信系统有较为深入的理解，精通时域或频域分析，如数字中频、FFT、信道估计和均衡、预失真等处理算法；
4、主导或参与过以下至少一项系统（移动通信如NR/LTE/CDMA、无线连接如802.11/802.15、数字视频如DVB/ISDB、通用技术如广播/卫星/OFDM系统等）相关协议，精通其原理和实现；
5、具备较强的算法设计及链路仿真能力，熟练使用Matlab或Python实现算法，具有C/C++编写能力。"
"AIGC算法工程师/调优师","	        岗位职责：1. 创意类AI模型落地与优化：评估现有各类AGI（生成式AI模型）在实际运用中的优劣，负责搭建公司内部AI效能提升工具。例如：本地部署Stable Diffusion和其相应的UI，训练本地LoRA模型，协助AIGC设计师优化模型参数等。2. 客制化生成式AI工具：熟悉并应用ChatGPT、Gemini、Stable Diffusion、Midjourney等主流AI工具，能够根据实际需求定制化AI工具。例如：通过自定义GPTs，定制化一个协助产品经理书写产品定义的助手。3. 各类衍生AI技术落地支持：根据公司业务需要，探索与落地各类AIGC算法、工具、插件的实地应用。 例如：接入OpenAI API，编写Chrome浏览器插件提升员工日常工作效率。4. 云边端AI相关解决方案：协助ML（机器学习）算法工程师，针对不同产品线或业务线，探索与完善AI解决方案。例如：搭建智能客服机器人、确立用于训练AI/ML模型的数据清洗与标记规范等等。5. 团队协作与知识传递：协助AIGC设计师，根据公司一线业务部门的真实需求，优化公司内部AI效能工具、制定培训教程、提供技术支持，提升AI工具在公司内部的使用度和使用效率。任职资格：1. 本科以上，计算机、机器学习、大数据等相关专业。2. 会熟练使用Python，C/C++，R，GoLang中至少一门编程语言，熟练使用Python者优先。3. 深厚的机器学习（ML）、计算机视觉（CV）、自然语言处理（NLP）等相关领域知识背景4. 熟练掌握ChatGPT、Gemini、Stable Diffusion、Midjourney等主流AI生成工具的应用5. 具有算法设计、开发和调优能力加分项：1. 有AIGC相关项目落地经验者，特别是Stable Diffusion以及其有关的UI（例如：WebUI、ComfyUI、Fooocus等）2. 曾以***作者或通讯作者在海外学术会议上发表与AIGC相关论文者3. 了解StarRocks，MongoDB，MySQL等数据库，能写基础的SQL语句                "
"NLP算法研究员","多模态算法,语义理解,文本生成,C/C++,Python,大模型算法	工作职责:
1.负责研究并实现创新算法以解决业务上遇到的NLP问题，支持AI代码助手、拟人角色扮演等语言模型课题，完成对话系统项目中的功能开发；
2.NLP预训练模型:挑战人类能力。探索模型的语义理解与文本生成能力的极限，进行超大模型结构设计，提出更强更通用的NLP预训练模型；
3.数理多模态模型:提升语言模型数理能力，改进多模态特征的融合方式，提出更有效的数理多模态预训练任务；
4.从系统应用的角度，利用自然语言处理的理论和方法来解决实际业务问题。

岗位要求:
1.计算机、应用数学、模式识别、人工智能等专业，2年及以上NLP大语言模型算法开发经验；
2.熟悉NLP领域，包括但不限于理解、解析及生成人类语言的算法和模型；
3.具有良好的机器学习和深度学习基础，能够通过从大量的数据中学习来改进理解和回答问题的能力；
4.良好的团队协作精神和沟通能力，能够与其他团队成员紧密合作。

加分项:
1.在国际顶尖会议或期刊上发表过论文，如ACL、EMNLP、ICLR、NeurIPS、ICML等；
2.代码力强劲。如获得过ICPC区域赛金牌、NOI金牌，或有较大影响力的开源项目。"
"算法工程师（数值模型方向）","仪器仪表	<div> 工作职责</div>1. 负责空气质量数值模型的应用开发、结果评估和改进优化。<br>2. 协同软件工程师，完成模型的平台上线及跟踪优化工作。<br>3. 负责模型开发和测试等相关文档的撰写。<div> <p>任职要求</p> <p>1. 气象学或大气物理化学相关专业，系统地掌握大气科学专业理论知识和应用技能。<br>2. 熟悉气象资料处理及应用的基本技术和分析方法。<br>3. 对常见中尺度气象模式如WRF，中尺度空气质量模式如 CMAQ，有碳通量同化反演经验优化。</p></div>"
"高级算法工程师（ai工程化）","深度学习,图像算法,Python,算法工程化经验,Sdk,部署	岗位职责:
参与OPPO系列手机拍照和视频ISP算法的设计开发，负责关键功能模块（基础画质、色彩影调、运动估计、对齐融合、语义分割）的开发与性能优化。
结合不同硬件特性，优化算法性能和精度，满足目标硬件平台的推理加速需求，构建算法竞争力。
验证算法性能和精度，优化算法的资源占用。
把握业界和学术界最新研究进展和技术趋势，持续提升算法竞争力。
任职资格：
电子与计算机相关专业，硕士及以上学历，3年以上工作经历
擅长c/c++编程，熟悉Python/java中一种。
熟练掌握Caffe/Pytorch/TF/MXNet等至少一种深度学习训练框架；熟练掌握NCNN/MNN/Tengine/MACE等一种端侧推理框架；了解模型量化相关知识。
熟悉计算机体系结构及并行计算相关技术。
熟悉NEON汇编指令集，熟悉OpenGL\OpenCL编程。
加分项：
熟悉SNPE/NeuralPilot框架，有实际使用经验着优先。
熟悉通用的参数类、结构类AI模型推理加速算法，包括量化、剪枝、图优化等，有实际项目开发经历优先。
有实际端侧AI开发、部署和优化经验；有网络优化、内存优化经验者优先。
发表过相关领域顶级论文与实用专利优先。"
"资深算法工程师","优化算法	职责描述：
1、作为算法侧负责人和核心人员深度参与公司的能源互联网平台的算法设计及研发；
2、带领团队负责公司能源互联网平台产品：能源大数据统计分析、负荷预测、电力交易、需求响应、微电网系统控制、碳管理及碳交易等核心算法的设计、开发、测试和算法文档编写等工作，保证产品核心技术优势；
3、负责完成公司能源互联网平台产品算法框架设计，完善现有算法体系，构建算法开发规范化管理机制；
4、协助完成公司能源互联网平台产品功能规划和设计，通过核心算法设计，挖掘数据价值，解决用户痛点，形成标准化应用；
5、解决算法模块在测试、使用中反馈的各种问题，进行分析总结，不断优化改进，以实现算法价值和满足用户需求为目标。

任职要求：
1、计算机、大数据、应用数学等相关理工科专业等相关专业院校硕士及以上学历，具有五年以上能源领域应用算法设计、实现工作经验者优先；
2、扎实的编程基础和工程实现能力，具有基于 C++/C/Go/Python/JAVA 实现算法的能力；
3、逻辑清晰、严谨的问题分析能力，需求洞察能力，良好的沟通能力和团队协作精神，自我驱动，善于学习，追求极致；
4、研究大数据神经网络人工智能等发展方向，探索和创新相关技术，并应用于能源行业；
5、有能源行业能量管理（EMS）、电网调度类、优化算法、数据挖掘类或电池能量管理（BMS）相关工作经验，或熟悉能量管理系统软硬件特点、具备实际研发经验并独立完成过实际项目经验者优先。"
"全局导航算法工程师","自动驾驶,C++	<div> 1、 岗位职责：</div><div> 1） 负责高阶自动驾驶全局路径规划和语义地图的核心算法开发。</div><div> 2） 基于业务需求，负责基于地图引擎的全局导航、基于车辆模型和场景的全局路径优化和语义地图功能模块开发、验证和产品落地，满足自动驾驶车辆在不同作业状态中对全局导航和道路结构认知的需求。</div><div> <br></div><div> 2、 任职要求：</div><div> 1） 硕士及以上学历，博士优先。2年以上相关工作经验。</div><div> 2） 熟悉常见的全局路径规划架构与算法，包括但不限于图搜索、基于采样、基于优化的轨迹规划算法和轨迹平滑算法。</div><div> 3） 了解自动驾驶常见的高精度地图数据格式，熟悉道路拓扑数据结构组织形式。</div><div> 4） 熟悉车辆运动学/动力学模型。</div><div> 5） 具备良好的数学能力，熟悉几何、统计、基本的优化方法等。</div><div> 6） 具备Linux系统下开发经验；具有扎实的C++编程功底及代码实现能力；了解Python编程语言。</div><div> 7） 满足如下条件可优先考虑：具备自动驾驶全局路径规划规划研发经验或量产经验；曾在自动驾驶决策与运动规划领域内期刊或会议发表论文；在知名比赛中取得优异成绩。</div><div> 8） 英语CET-6或以上，口语流利，能阅读外文资料。</div><div> 9） 追求卓越，有很强的自我驱动能力和学习能力，并有强烈意愿将技术转化为实际产品；具备良好的团队合作精神、严密的逻辑思维能力以及高效沟通能力。</div>"
"算法工程师","Shell,Python,C++,C语言,算法优化	一、岗位职责
1、AI图像处理、模式识别、目标跟踪、目标检测、行为识别等算法的创新优化，梳理算法功能，进行规范化整理；
2、AI模型的应用落地，针对应用场景的特定优化；
3、与公司其他部门进行数据、代码、接口对接，并提供相关文档；
4、不断学习最新的国内外算法论文和模型，调研最新应用算法，并进行相关实验。
二、任职要求
1、本科及以上学历，人工智能、计算机、软件工程、数学或相关专业；
2、具备扎实的图像处理、目标检测、机器学习、深度学习相关算法理论及知识基础，有机器识别、模式识别、视频图像处理领域的的算法研究经验优先;
3、有较强的算法实现能力，熟练C++/C/Python/Shell等编程语言，熟悉OpenCV；
4、熟悉掌握TensorFlow/Pytorch/Mxnet/Caffe任意一种深度学习框架。"
"视觉多模态算法工程师","大模型算法,图像算法,多模态算法,Python,算法工程化经验,发表算法相关优秀论文,参加算法相关竞赛/获奖	工作职责：

1. 涉及到多模态的计算机视觉算法研发，主要是图像生成文字、图像分类、图像物体识别、图像问答等技术用于建筑相关的场景；

2. 深度学习相关模型设计、优化及相关部署；

3. 与产品组合作，针对特定的业务问题和客户需求，设计定制化的算法，并能设计实验来分析和迭代算法；



任职要求：

1. 硕士及以上学历，希望有机器学习、计算机视觉、图像处理相关背景；计算机科学、电子工程、自动化、应用数学等相关专业优先；优秀本科生亦可；

2. 熟练掌握深度学习、计算机视觉、自然语言处理相关的理论知识和实践技能，熟悉经典CNN和Transformer网络的适用场景；熟悉PyTorch等主流深度学习框架；

3. 熟悉CLIP等多模态经典模型的原理，对行业内最新的模型和趋势有着一定的跟进；有图像识别、图像问答、图生文等实际工作或科研项目经验者优先；

4. 有过对大语言模型微调的实战经历，包括但不限于prompt tuning, LoRA, full parameter tuning等；对于模型性能调优有过持续的锻炼和思考；

5. 具备扎实的算法复现和独立实现能力；具备扎实的Python编程功底，有至少2年比较规范的编程经历，代码规范，可读性强；

6. 具备较强的创新探索能力；具备较强的沟通交流能力和团队合作意识；具备较强的文档书写能力；

7. 有国际顶级会议论文或SCI期刊论文发表者，或国际大赛参赛经验者优先；

8. 具备较强的英文文献阅读和理解能力者优先。"
"ai算法工程师","自然语言处理,视觉图像算法,视频算法,算法研究,PyTorch,智慧城市,智慧农业	岗位职责<div> <div>  1.AI工业应用算法研究：图像处理、图像分割、分类、模板检测、字符定位与识别，图像检索，异常检测等 </div> <div>  2.算法工具开发：算法流程化设计，算法输入输出参数化； </div> <div>  3.进行大量案例验证、优化，独立训练工具进行图像训练; </div> <div>  4.提供高性能深度学习算法，能够对常见工业自动化项目都有良好的适应性， </div> <div>  5.可高效完成深度学习的项目应用。 </div> <div>  岗位要求 </div> <div>   1、熟悉自然场景文本检测、识别领域基础理论和方法，能对模型进行训练和优化，并有相关项目经验；  <br>2、3年以上相关工作经验，掌握 Python/Java 编程，掌握网络操作、文件操作、文本/图像数据处理、数据抽取、转换、清洗、格式化、装载等相关编程技能；  <br>3、熟悉自然语言处理、图像处理领域基础理论和方法；  <br>4、熟练掌握TensorFlow/PyTorch/Paddle？等深度学习框架的一种或多种，有相关项目经验的优秀应届生，可放宽经验要求；  <br>5、具有图像处理领域的项目经验优先；  </div> <div>  <br> </div></div>"
"北京-计算机视觉算法实习生（J39071）","算法研究,深度学习	职责描述：
负责机器学习/深度学习算法研究，参与计算机视觉或人机交互算法创新研究并发表高质量论文，提升智慧物联产品AI技术竞争力。
任职要求：
1. 计算机、软件、电子、数学等相关专业，硕士或博士在读；
2. 人工智能算法基础扎实，有良好的研究经验和成果，对算法研究兴趣浓厚，技术创新能力强；
3. 对研究工作充满热情，具备良好的团队合作精神和沟通能力；
4. 具备较强的编程能力，精通Python编程语言，熟悉至少一种深度学习架构；
5. 在高水平国际会议和学术期刊发表过相关论文者优先。
"
"4D标注算法工程师/专家","	工作职责
主要参于自动驾驶场景下，4D重建及自动标注相关算法设计、实现及产品研发，负责以下任一方向工作：
1、负责开发大规模场景下，以lidar为核心的多源传感器融合（lidar-imu-wheel-gnss）建图及定位算法设计、实现及产品研发；
2、负责开发大规模场景下，以视觉为核心融合惯导的SLAM系统，完成建图、定位、实例重建等算法设计、实现及产品研发；
3、负责NeRF、MVSNet、Stereo、Differentiable Rendering 等三维视觉相关算法的相关研发工作，将相关的技术应用于自动驾驶相关任务；
4、参与核心项目，负责新技术调研、开发、落地，以及相应的标准化工程开发沉淀和自动化，持续提升算法效果和效率，打造行业一流的自动驾驶领域4D GT生产工具/平台；
5、结合应用场景（自动驾驶、车内外联动等），持续进化量产系统的能力，满足产品需求提升用户体验。
工作要求
1、硕士及以上学历，计算机视觉、图像处理、计算机图形学、机器视觉、数学以及摄影测量领域硕士及博士优先；
2、2年以上从事VO/VIO/SLAM/SFM及三维视觉相关的算法研发经验，掌握多视图几何，滤波器以及非线性优化等相关的算法；
3、具备良好的编程能力，精通C/C++/Python，熟练使用G2O,和Ceres等优化库，有ROS, FPGA/ASIC开发和优化经验者优先；
4、良好的团队合作精神， 善于沟通，乐于接受挑战，独立思考， 具备较强的工程开发与沟通能力，有创新能力、能独立思考并完成工作。"
"算法工程师","C++,计算机相关专业,机械设计制造相关专业,电气电气/自动化相关专业	岗位职责: 
1、负责底盘协同算法和控制策略开发；
2、负责功能定义剖析,实现算法模型正向开发；
3、负责搭建算法验证平台(含联合仿真),对控制算法和控制策略进行虚拟验证； 
4、负责建立/优化算法开发流程及相关文件。
 任职要求: 
1、自动化、电子、汽车、机械工程等相关专业硕士或以上学历；
2、熟悉现代控制理论、非线性控制理论及各种控制方法。有丰富的问题解决经验；
3、熟悉车辆运动学、车辆动力学理论(底盘控制方向)；
4、熟悉一款及以上的算法开发及仿真工具,包括Matlab/simulink、c/c++、Trucksim等；
5、具备良好的协调沟通能力及较好的抗压能力；
6、身心健康,作风正派,无任何纪律处分记录,具有良好 的职业道德修养；
7、3年以上算法开发相关工作经验，有完整的底盘类项目开发经验者优先。"
"大模型算法","大模型算法,深度学习,机器学习,自然语言处理算法,Python,C/C++	华为OD招聘
行业AI大模型开发，云化工业软件开发
1.AI大模型for代码自动生成、资源智能调度、科学计算仿真、问题智能定位
2.前端VUE，java云原生，python数据分析，C++分布式，GPU高性能求解"
"AI算法工程师","机器学习,c/c++,决策树类算法,数据挖掘	AI算法工程师

工作职责:
1.研究深度学习（包括各种神经网络结构与应用）或网络领域核心算法，包括模型训练及优化；深度了解几种决策树的算法实现和优化;
2.研究模型压缩技术和模型训练技巧，调研不同深度学习训练平台的优缺点；
3.带领算法团队完成任务目标；
4.管理算法开发团队，跟踪公司需要的算法方向；
5.决定公司算法实现的技术路线；
6.对公司算法开发过程中遇到的困难问题组织技术攻关；
7.对算法团队的建设发展，提出自己的意见建议。

岗位要求：
1.有良好的计算机和数学基础，数学、计算机或相关专业；
2.2年以上相关深度学习、模式识别算法工作经验；
3.熟悉C/C++程序开发和Python等脚本语言开发；
4.熟悉CNN/ CVM/xgboost/ NAIVE BAYES算法，有模型训练经验，熟悉至少一种深度学习框架，包括Caffe，tensorflow；
5.使用深度学习技术解决过实际问题(如：网络拥塞控制)；
6.熟悉GPU/FPGA开发优化者优先；"
"算法专家","业务导向/研究导向,语音/图像识别,C/C++,OpenCV,TensorFlow/PyTorch,计算机相关专业,机器学习算法/工程化经验,深度学习经验,信息隐藏	1.负责对现有信息隐藏、信息隐藏检测核心算法的实现和性能优化；
2.负责研究和开发各种算法模型，包括但不限于计算机视觉、机器学习、深度学习、自然语言处理等领域；
3.负责信息隐藏方向相关项目的需求分析、技术方案撰写、算法整理等工作；
4.跟进最新的信息隐藏技术和研究趋势，推动团队不断提高技术水平并拓展业务领域。"
"图形渲染算法工程师","	岗位职责：
1、负责移动端、PC 端平台的视频处理和渲染框架的开发与维护；
2、负责优化内存、渲染性能等，不断提升视频渲染的清晰度和流畅度；
3、负责实现图像、实时音视频超分、特效、滤镜等后处理功能。

任职条件：
1、统招本科及以上学历，计算机相关专业，3年及以上GPU/图形学相关开发经验；
2、精通 C/C++/Java/ObjectiveC 等至少一种编程语言，能够使用并快速学习其他端的编程语言；
3、熟悉 OpenGL ES/Metal/Vulkan 等至少一种渲染框架的原理和使用，熟悉shader语言；
4、熟悉 Android/iOS/WIN/ 系统，对系统图形渲染框架有深入的了解, 尤其是 WIN，IOS 端侧超分经验优先；
5、熟悉针对图形的基于传统方法和深度学习的各类算法，包括超分、HDR、降噪、颜色管理等，有超分模型搭建与训练经验优先。"
"自动驾驶基础架构部_3D视觉算法工程师","图像分析,深度学习,深度学习框架	
工作职责:
-负责百度智能交通、自动驾驶、3D应用相关场景下的图像结构化分析算法开发和研究
-工作内容包括但不限于: 3D位姿估计、深度估计、场景重建与生成、3D物体检测/分割、人体3D建模与驱动、SLAM等研发工作，技术专利撰写
-应用图像和3D分析技术助力产品落地；研究创新且有影响力的新算法

职责要求:
-深度学习、机器学习、计算机视觉等领域的硕士或博士
-熟练掌握C++, 熟练掌握一门脚本语言（Python、Shell等)
-熟练掌握一个深度学习框架（Caffe、Pytorch，PaddlePaddle、Tensorflow等）
-在计算机视觉(CVPR，ICCV，ECCV)和机器学习(NIPS，ICML，AAAI)等相关会议发表论文者优先
-在智慧城市(AIcity) 、3D技术（KITTI、nuScenes、middlebury stereo、6DOF）等benchmark上取得优秀成绩者优先"
"云计算销售","	        1、采用多渠道（电话、网络、面对面等）等形式沟通服务，向客户推广阿里云产品，为客户提供专业的互联网基础产品服务；2、负责跟进阿里云提供的客户数据，在完成日常跟进任务之外，不断开发新客户；3、主动挖掘客户需求，针对客户情况进行阿里云产品的推荐及销售；4、维护客户关系，定期与合作客户进行沟通，建立良好的长期合作关系。任职要求：1、大专学历，普通话标准，有相关云产品推广经验者优先；2、积极主动，勤奋上进，有较强的学习能力及良好的团队合作意识，较好的沟通表达能力；3、热情开朗，较强的开拓能力及能承受较强的工作压力，喜欢挑战高薪工作。福利待遇1、薪资：无责任底薪+提成+奖金2、带薪培训：专业知识技能、销售技巧、项目管理经验、推广运营等知识技能培训。3、五险一金：养老保险、失业保险、医疗保险、生育保险、工伤保险、住房公积金。4、带薪休假：法定节假日、婚假、产假、陪产假、带薪年假等。各种节日福利，入职周年礼品等。5、舒适写字楼办公，轻松的工作氛围，不定时下午茶，每天无限零食（一进公司胖3斤）。6、活动：每年免费国内外旅游，每月聚餐（狼人杀、室内攀岩、K歌、密室逃脱、趣味运动等）。你想的到的我们都有！工作时间：周一至周五9:00-12:00 ，13:30-18:00，周末双休。                "
"算法开发工程师（点云分析岗）","	        招聘要求：1、硕士以及以上学历； 计算机、自动化、控制工程、数学或人工智能相关专业;5年以上图像算法相关工作经验；2、熟练使用C/C++、Python等编程语言中的至少一种3、熟悉至少一种深度学习框架(如PyTorch，Tensorflow，PaddlePaddle等)，熟悉检测及分割常用模型及算法调参4、熟悉传统图像处理方法，如图像增强、滤波、边缘提取、特征提取与分析5、熟悉3D成像原理及相机标定相关内容, 有三维重建、点云分析和识别项目研发经验6、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于解决问题和分析问题7、优秀的团队合作精神，较强的沟通协作能力                "
"算法工程师","	岗位职责：
1、信号处理算法的设计、仿真、调试和测试。
2、已有信号处理算法的移植、集成和工程实现。
3、信号处理算法的持续改进，以满足产品新的需要。
4、承担产品的研制工作，负责产品的方案设计和具体实施工作。
5、主持产品的特性分析，提出关键技术，并组织进行技术攻关和技术验证。
6、参与系统联试、试验、用户交付、设计定型或鉴定等。
任职资格:
1、本科以上学历，计算机、电子信息、通信工程等相关专业，具有3年以上相关经历；
2、了解AI相关产品技术框架，熟悉寒武纪(Cambricon MLU)、Nvidia Jetson 、华为昇腾(Hw Ascend NPU )等平台及掌握人工智能边缘计算等内容，具有深度学习、图像处理、机器人控制等AI项目开发经验优先；
3、具有良好的沟通能力、执行能力和独立解决问题的能力；
4、有创业、创新精神，对新鲜事物保持好奇心和探索欲；
5、了解其他项目及岗位工作，具备团队协作能力；
6、具备良好的学习能力、逻辑思维能力、沟通能力，认真负责，有耐心，上进心强。"
